index,plan_name,graph2plan_id,source,source_index
286,plan_00286,294,train,9787
287,plan_00287,295,train,7753
288,plan_00288,296,train,906
289,plan_00289,297,test,859
290,plan_00290,298,train,5137
291,plan_00291,299,train,6222
292,plan_00292,301,train,10402
293,plan_00293,302,test,1970
294,plan_00294,303,train,6881
295,plan_00295,304,train,778
296,plan_00296,305,train,5020
297,plan_00297,306,train,34
298,plan_00298,307,train,2890
299,plan_00299,308,train,10262
300,plan_00300,309,train,8560
301,plan_00301,310,train,13110
302,plan_00302,311,train,935
303,plan_00303,312,train,5781
304,plan_00304,313,test,934
305,plan_00305,314,train,6404
306,plan_00306,315,train,11469
307,plan_00307,316,train,2485
308,plan_00308,317,train,4703
309,plan_00309,318,train,13238
310,plan_00310,319,train,9987
311,plan_00311,324,train,10848
312,plan_00312,325,train,443
313,plan_00313,326,train,1566
314,plan_00314,327,train,7762
315,plan_00315,328,train,10297
316,plan_00316,329,train,9694
317,plan_00317,330,train,3612
318,plan_00318,331,train,6235
319,plan_00319,332,train,3264
320,plan_00320,333,train,5933
321,plan_00321,334,train,12177
322,plan_00322,335,train,11614
323,plan_00323,336,train,1808
324,plan_00324,337,train,9420
325,plan_00325,338,train,1018
326,plan_00326,339,train,13282
327,plan_00327,340,train,12595
328,plan_00328,341,test,1791
329,plan_00329,342,train,4255
330,plan_00330,343,train,1042
331,plan_00331,344,train,12127
332,plan_00332,345,test,70
333,plan_00333,346,train,9730
334,plan_00334,347,train,9024
335,plan_00335,348,train,9263
336,plan_00336,349,train,2583
337,plan_00337,350,train,1793
338,plan_00338,351,train,4312
339,plan_00339,352,train,5751
340,plan_00340,353,train,6245
341,plan_00341,354,test,490
342,plan_00342,355,train,11212
343,plan_00343,356,train,3287
344,plan_00344,357,train,13691
345,plan_00345,358,train,9661
346,plan_00346,359,train,310
347,plan_00347,360,train,6085
348,plan_00348,361,train,452
349,plan_00349,362,train,13575
350,plan_00350,363,test,554
351,plan_00351,364,train,10401
352,plan_00352,365,test,1356
353,plan_00353,366,train,11052
354,plan_00354,367,train,14394
355,plan_00355,368,train,12224
356,plan_00356,369,train,12128
357,plan_00357,370,train,10191
358,plan_00358,371,train,11836
359,plan_00359,372,train,7097
360,plan_00360,373,train,5685
361,plan_00361,374,train,6450
362,plan_00362,375,train,6028
363,plan_00363,376,train,465
364,plan_00364,377,train,11185
365,plan_00365,378,train,12276
366,plan_00366,379,train,9571
367,plan_00367,380,train,4101
368,plan_00368,381,test,1236
369,plan_00369,382,train,361
370,plan_00370,383,train,1786
371,plan_00371,384,test,636
372,plan_00372,385,train,387
373,plan_00373,386,train,11979
374,plan_00374,387,train,8410
375,plan_00375,388,train,8034
376,plan_00376,389,train,11460
377,plan_00377,390,train,8388
378,plan_00378,392,train,8374
379,plan_00379,393,train,9413
380,plan_00380,394,train,5808
381,plan_00381,395,train,9198
382,plan_00382,396,train,10595
383,plan_00383,397,test,703
384,plan_00384,398,test,2038
385,plan_00385,399,train,13942
386,plan_00386,400,train,101
387,plan_00387,401,test,15
388,plan_00388,402,train,7979
389,plan_00389,403,train,6086
390,plan_00390,404,train,6646
391,plan_00391,405,train,14302
392,plan_00392,406,test,481
393,plan_00393,407,train,10636
394,plan_00394,408,train,3307
395,plan_00395,409,train,14248
396,plan_00396,410,train,13427
397,plan_00397,411,train,6058
398,plan_00398,412,train,1377
399,plan_00399,413,train,4918
400,plan_00400,414,train,9953
401,plan_00401,415,test,832
402,plan_00402,416,train,848
403,plan_00403,417,train,13199
404,plan_00404,418,test,1244
405,plan_00405,419,train,140
406,plan_00406,420,train,6999
407,plan_00407,421,train,7721
408,plan_00408,422,train,8564
409,plan_00409,423,train,6137
410,plan_00410,424,train,7941
411,plan_00411,425,train,9826
412,plan_00412,426,train,13447
413,plan_00413,427,train,2687
414,plan_00414,428,train,9717
415,plan_00415,431,train,11239
416,plan_00416,432,train,8258
417,plan_00417,433,train,1214
418,plan_00418,434,test,101
419,plan_00419,435,train,364
420,plan_00420,436,test,726
421,plan_00421,437,train,10502
422,plan_00422,438,train,1652
423,plan_00423,439,train,11921
424,plan_00424,440,train,2498
425,plan_00425,441,train,8916
426,plan_00426,442,train,13399
427,plan_00427,443,train,10726
428,plan_00428,444,train,1536
429,plan_00429,445,train,13913
430,plan_00430,446,train,10975
431,plan_00431,447,test,525
432,plan_00432,448,train,12329
433,plan_00433,449,train,7507
434,plan_00434,450,train,10779
435,plan_00435,451,train,7918
436,plan_00436,452,train,8804
437,plan_00437,453,test,1022
438,plan_00438,454,train,4990
439,plan_00439,455,test,2242
440,plan_00440,456,test,360
441,plan_00441,457,train,892
442,plan_00442,458,train,6584
443,plan_00443,459,train,11183
444,plan_00444,460,train,2683
445,plan_00445,461,train,4754
446,plan_00446,462,train,13649
447,plan_00447,463,train,13359
448,plan_00448,464,train,3886
449,plan_00449,465,train,1693
450,plan_00450,466,train,8341
451,plan_00451,467,train,8540
452,plan_00452,468,train,12945
453,plan_00453,469,train,882
454,plan_00454,470,test,627
455,plan_00455,471,test,2377
456,plan_00456,472,test,1777
457,plan_00457,473,train,14012
458,plan_00458,474,train,866
459,plan_00459,475,train,13791
460,plan_00460,476,train,10288
461,plan_00461,477,train,5185
462,plan_00462,480,train,8611
463,plan_00463,481,train,11208
464,plan_00464,482,test,362
465,plan_00465,483,train,1650
466,plan_00466,484,train,8794
467,plan_00467,485,train,669
468,plan_00468,486,train,1413
469,plan_00469,487,train,4217
470,plan_00470,488,train,7586
471,plan_00471,489,test,992
472,plan_00472,490,train,2481
473,plan_00473,491,train,151
474,plan_00474,492,train,4568
475,plan_00475,493,train,7610
476,plan_00476,494,test,1615
477,plan_00477,495,train,3486
478,plan_00478,496,test,1526
479,plan_00479,497,train,5952
480,plan_00480,498,train,11311
481,plan_00481,501,train,10015
482,plan_00482,502,train,9633
483,plan_00483,503,train,1996
484,plan_00484,504,train,11418
485,plan_00485,505,train,12877
486,plan_00486,506,train,3261
487,plan_00487,507,test,974
488,plan_00488,508,train,11776
489,plan_00489,509,train,619
490,plan_00490,510,train,11833
491,plan_00491,511,train,5210
492,plan_00492,512,train,1276
493,plan_00493,513,test,1885
494,plan_00494,514,train,11743
495,plan_00495,515,test,1158
496,plan_00496,516,train,5447
497,plan_00497,517,train,10622
498,plan_00498,518,test,44
499,plan_00499,519,train,1129
500,plan_00500,520,train,14343
501,plan_00501,521,train,10141
502,plan_00502,522,test,86
503,plan_00503,523,train,14359
504,plan_00504,524,train,9394
505,plan_00505,525,train,5409
506,plan_00506,526,train,6088
507,plan_00507,527,train,8025
508,plan_00508,528,train,1628
509,plan_00509,529,train,12721
510,plan_00510,530,train,13809
511,plan_00511,531,train,8844
512,plan_00512,532,train,10173
513,plan_00513,533,train,7842
514,plan_00514,534,train,6700
515,plan_00515,535,train,3273
516,plan_00516,536,train,3826
517,plan_00517,537,train,4188
518,plan_00518,538,test,1305
519,plan_00519,539,train,4836
520,plan_00520,540,train,11497
521,plan_00521,541,train,5523
522,plan_00522,542,train,11514
523,plan_00523,543,train,11961
524,plan_00524,544,train,752
525,plan_00525,545,train,8499
526,plan_00526,546,train,7992
527,plan_00527,547,train,5265
528,plan_00528,548,train,13295
529,plan_00529,549,train,869
530,plan_00530,550,test,1435
531,plan_00531,551,test,1759
532,plan_00532,552,train,5738
533,plan_00533,553,train,2148
534,plan_00534,554,train,5913
535,plan_00535,555,train,2237
536,plan_00536,556,train,7950
537,plan_00537,557,train,10543
538,plan_00538,558,train,1141
539,plan_00539,559,test,1530
540,plan_00540,560,train,13459
541,plan_00541,561,train,11886
542,plan_00542,562,train,14220
543,plan_00543,563,train,2324
544,plan_00544,564,train,7587
545,plan_00545,565,train,13932
546,plan_00546,566,train,13925
547,plan_00547,567,train,13200
548,plan_00548,568,train,7105
549,plan_00549,569,test,861
550,plan_00550,570,test,467
551,plan_00551,571,train,5598
552,plan_00552,572,train,1915
553,plan_00553,573,train,5671
554,plan_00554,574,train,10052
555,plan_00555,575,train,5532
556,plan_00556,576,test,1741
557,plan_00557,577,train,11380
558,plan_00558,578,train,5201
559,plan_00559,579,train,12720
560,plan_00560,580,train,12754
561,plan_00561,581,train,8667
562,plan_00562,582,train,879
563,plan_00563,583,train,3728
564,plan_00564,584,train,1894
565,plan_00565,585,train,8112
566,plan_00566,586,test,1004
567,plan_00567,587,train,13360
568,plan_00568,588,test,2523
569,plan_00569,591,train,11917
570,plan_00570,592,train,6575
571,plan_00571,593,train,13026
572,plan_00572,594,train,3139
573,plan_00573,595,train,8681
574,plan_00574,596,train,2370
575,plan_00575,597,train,6974
576,plan_00576,598,train,5735
577,plan_00577,599,train,13793
578,plan_00578,600,train,12010
579,plan_00579,601,train,10522
580,plan_00580,602,train,13394
581,plan_00581,603,train,5244
582,plan_00582,604,train,11892
583,plan_00583,605,train,2321
584,plan_00584,606,train,8110
585,plan_00585,607,train,11372
586,plan_00586,608,train,4383
587,plan_00587,609,train,14189
588,plan_00588,610,train,11522
589,plan_00589,611,train,12503
590,plan_00590,612,test,491
591,plan_00591,613,train,9997
592,plan_00592,614,train,8217
593,plan_00593,615,train,6048
594,plan_00594,616,train,4446
595,plan_00595,617,train,14332
596,plan_00596,618,train,9026
597,plan_00597,619,train,12379
598,plan_00598,620,test,1379
599,plan_00599,621,train,10689
600,plan_00600,622,train,10590
601,plan_00601,623,test,340
602,plan_00602,624,test,846
603,plan_00603,625,test,676
604,plan_00604,626,train,91
605,plan_00605,627,train,9013
606,plan_00606,628,test,1651
607,plan_00607,629,train,6697
608,plan_00608,630,test,1383
609,plan_00609,631,train,6184
610,plan_00610,632,train,11018
611,plan_00611,633,train,8439
612,plan_00612,634,train,115
613,plan_00613,635,train,7056
614,plan_00614,636,train,10536
615,plan_00615,637,train,1951
616,plan_00616,638,train,13998
617,plan_00617,639,train,12789
618,plan_00618,640,test,1685
619,plan_00619,641,test,176
620,plan_00620,642,train,8586
621,plan_00621,643,train,12990
622,plan_00622,644,train,4750
623,plan_00623,645,train,10760
624,plan_00624,646,train,7612
625,plan_00625,647,train,10537
626,plan_00626,648,train,10249
627,plan_00627,649,train,2528
628,plan_00628,650,train,11030
629,plan_00629,651,train,2884
630,plan_00630,652,test,1735
631,plan_00631,653,train,9683
632,plan_00632,654,train,7268
633,plan_00633,655,train,5129
634,plan_00634,656,train,9077
635,plan_00635,657,test,2399
636,plan_00636,658,train,985
637,plan_00637,659,train,2291
638,plan_00638,660,train,5570
639,plan_00639,661,test,879
640,plan_00640,662,train,13914
641,plan_00641,663,train,12527
642,plan_00642,664,train,11967
643,plan_00643,665,train,14346
644,plan_00644,666,train,4469
645,plan_00645,667,train,6133
646,plan_00646,668,train,1358
647,plan_00647,669,train,10970
648,plan_00648,670,train,6854
649,plan_00649,671,train,249
650,plan_00650,672,test,487
651,plan_00651,673,train,3716
652,plan_00652,674,test,1340
653,plan_00653,675,test,516
654,plan_00654,676,train,12075
655,plan_00655,677,train,9182
656,plan_00656,678,train,11925
657,plan_00657,679,train,10411
658,plan_00658,680,train,9255
659,plan_00659,681,train,9755
660,plan_00660,682,train,12292
661,plan_00661,683,train,10474
662,plan_00662,684,train,11427
663,plan_00663,685,train,12422
664,plan_00664,686,train,3270
665,plan_00665,687,train,13826
666,plan_00666,688,test,264
667,plan_00667,689,train,929
668,plan_00668,690,test,837
669,plan_00669,691,train,3202
670,plan_00670,692,train,2660
671,plan_00671,693,train,1295
672,plan_00672,694,train,12702
673,plan_00673,695,test,2094
674,plan_00674,696,train,9583
675,plan_00675,697,train,8249
676,plan_00676,698,train,5223
677,plan_00677,699,train,789
678,plan_00678,700,train,1835
679,plan_00679,701,train,8580
680,plan_00680,702,train,6689
681,plan_00681,703,test,656
682,plan_00682,704,train,1988
683,plan_00683,705,test,2422
684,plan_00684,706,train,12577
685,plan_00685,707,train,3512
686,plan_00686,708,train,6271
687,plan_00687,709,test,250
688,plan_00688,710,train,9919
689,plan_00689,711,train,3218
690,plan_00690,712,train,2840
691,plan_00691,713,train,7380
692,plan_00692,714,train,8915
693,plan_00693,715,train,3319
694,plan_00694,716,train,10607
695,plan_00695,717,train,9195
696,plan_00696,718,train,4904
697,plan_00697,719,train,3083
698,plan_00698,720,train,10648
699,plan_00699,721,test,2409
700,plan_00700,722,train,1717
701,plan_00701,723,train,12733
702,plan_00702,724,train,5758
703,plan_00703,725,train,11245
704,plan_00704,727,train,11171
705,plan_00705,728,train,14309
706,plan_00706,729,train,8903
707,plan_00707,730,test,262
708,plan_00708,731,train,3531
709,plan_00709,732,test,917
710,plan_00710,733,test,1410
711,plan_00711,734,train,8182
712,plan_00712,735,train,1379
713,plan_00713,736,train,7252
714,plan_00714,737,train,4527
715,plan_00715,738,train,5089
716,plan_00716,739,train,3394
717,plan_00717,740,train,3756
718,plan_00718,741,train,13686
719,plan_00719,742,train,11556
720,plan_00720,743,train,4543
721,plan_00721,744,train,2642
722,plan_00722,745,train,7558
723,plan_00723,746,train,772
724,plan_00724,747,train,6895
725,plan_00725,748,train,8933
726,plan_00726,749,train,8281
727,plan_00727,750,test,2264
728,plan_00728,752,test,1896
729,plan_00729,753,train,10953
730,plan_00730,754,train,13825
731,plan_00731,755,train,7143
732,plan_00732,756,train,5805
733,plan_00733,757,train,10932
734,plan_00734,758,train,7719
735,plan_00735,759,train,13853
736,plan_00736,760,train,9981
737,plan_00737,761,train,7967
738,plan_00738,762,train,2123
739,plan_00739,763,train,8658
740,plan_00740,764,train,9816
741,plan_00741,765,test,1374
742,plan_00742,766,train,3455
743,plan_00743,767,train,5920
744,plan_00744,769,train,10381
745,plan_00745,770,train,13030
746,plan_00746,771,train,5330
747,plan_00747,772,train,2908
748,plan_00748,773,train,4705
749,plan_00749,774,test,2243
750,plan_00750,775,train,10516
751,plan_00751,776,train,13286
752,plan_00752,777,train,4777
753,plan_00753,778,train,11254
754,plan_00754,780,train,7957
755,plan_00755,781,train,5308
756,plan_00756,782,train,3703
757,plan_00757,783,train,320
758,plan_00758,784,test,813
759,plan_00759,785,train,10227
760,plan_00760,786,train,6248
761,plan_00761,787,train,10274
762,plan_00762,788,test,410
763,plan_00763,789,train,4921
764,plan_00764,790,train,6576
765,plan_00765,791,train,12387
766,plan_00766,792,train,11471
767,plan_00767,793,train,4639
768,plan_00768,794,train,8117
769,plan_00769,795,train,6560
770,plan_00770,796,train,8089
771,plan_00771,797,train,5390
772,plan_00772,798,train,11044
773,plan_00773,799,train,9572
774,plan_00774,800,train,14335
775,plan_00775,801,train,3657
776,plan_00776,802,train,8876
777,plan_00777,803,train,5863
778,plan_00778,804,train,2945
779,plan_00779,805,test,2259
780,plan_00780,806,train,7331
781,plan_00781,807,train,6953
782,plan_00782,808,train,8348
783,plan_00783,809,train,7444
784,plan_00784,810,train,12270
785,plan_00785,811,train,10732
786,plan_00786,812,train,7767
787,plan_00787,813,train,11987
788,plan_00788,814,train,10264
789,plan_00789,815,train,7592
790,plan_00790,816,train,13866
791,plan_00791,817,test,2222
792,plan_00792,818,test,463
793,plan_00793,819,train,3689
794,plan_00794,820,train,12690
795,plan_00795,821,train,7838
796,plan_00796,822,train,12815
797,plan_00797,823,test,867
798,plan_00798,824,train,1882
799,plan_00799,825,train,10799
800,plan_00800,826,train,8075
801,plan_00801,827,train,19
802,plan_00802,828,train,8776
803,plan_00803,829,train,7217
804,plan_00804,830,train,2542
805,plan_00805,831,train,4781
806,plan_00806,832,train,7120
807,plan_00807,833,train,3383
808,plan_00808,834,train,8434
809,plan_00809,835,train,5277
810,plan_00810,836,train,5247
811,plan_00811,837,test,2188
812,plan_00812,838,train,10220
813,plan_00813,839,train,3521
814,plan_00814,840,train,10855
815,plan_00815,841,train,4331
816,plan_00816,842,train,10090
817,plan_00817,843,train,10333
818,plan_00818,844,train,3695
819,plan_00819,845,train,6030
820,plan_00820,846,train,1152
821,plan_00821,847,train,5579
822,plan_00822,848,train,8869
823,plan_00823,849,train,11419
824,plan_00824,850,test,120
825,plan_00825,851,train,8291
826,plan_00826,852,train,11754
827,plan_00827,853,train,13265
828,plan_00828,854,train,10611
829,plan_00829,855,train,4531
830,plan_00830,856,train,10826
831,plan_00831,857,test,908
832,plan_00832,858,train,3598
833,plan_00833,859,train,4476
834,plan_00834,860,train,6538
835,plan_00835,861,train,8513
836,plan_00836,862,train,10438
837,plan_00837,863,train,10003
838,plan_00838,864,train,9839
839,plan_00839,865,train,3239
840,plan_00840,866,train,8561
841,plan_00841,867,train,11950
842,plan_00842,868,train,8596
843,plan_00843,869,test,549
844,plan_00844,870,train,5018
845,plan_00845,871,test,64
846,plan_00846,872,test,814
847,plan_00847,873,train,1481
848,plan_00848,874,train,11062
849,plan_00849,875,train,12146
850,plan_00850,876,train,9699
851,plan_00851,877,train,10575
852,plan_00852,878,test,725
853,plan_00853,879,train,1492
854,plan_00854,880,test,662
855,plan_00855,881,train,1171
856,plan_00856,882,train,7201
857,plan_00857,883,train,6126
858,plan_00858,884,train,6634
859,plan_00859,885,train,14154
860,plan_00860,886,train,2068
861,plan_00861,887,test,1545
862,plan_00862,888,train,13699
863,plan_00863,889,train,9137
864,plan_00864,890,train,13424
865,plan_00865,891,train,8367
866,plan_00866,892,train,9711
867,plan_00867,893,train,11529
868,plan_00868,894,test,986
869,plan_00869,895,train,12234
870,plan_00870,896,train,3384
871,plan_00871,897,train,2869
872,plan_00872,898,train,7360
873,plan_00873,899,train,12328
874,plan_00874,901,train,1241
875,plan_00875,902,train,356
876,plan_00876,903,train,4027
877,plan_00877,904,train,1408
878,plan_00878,905,test,2391
879,plan_00879,906,train,12432
880,plan_00880,907,train,2099
881,plan_00881,908,test,409
882,plan_00882,909,train,12308
883,plan_00883,910,test,1557
884,plan_00884,911,train,2538
885,plan_00885,912,train,7768
886,plan_00886,913,train,12225
887,plan_00887,914,train,1471
888,plan_00888,915,train,3558
889,plan_00889,916,train,6342
890,plan_00890,917,train,3613
891,plan_00891,918,train,12627
892,plan_00892,919,train,832
893,plan_00893,920,train,14281
894,plan_00894,921,train,9931
895,plan_00895,922,train,7324
896,plan_00896,923,train,4154
897,plan_00897,924,train,7860
898,plan_00898,925,train,12016
899,plan_00899,926,train,6534
900,plan_00900,927,train,12362
901,plan_00901,928,train,10710
902,plan_00902,929,train,5767
903,plan_00903,930,train,1435
904,plan_00904,931,train,13507
905,plan_00905,932,test,767
906,plan_00906,933,train,1444
907,plan_00907,934,train,2975
908,plan_00908,935,test,130
909,plan_00909,936,train,3424
910,plan_00910,937,train,3203
911,plan_00911,938,train,12496
912,plan_00912,939,test,666
913,plan_00913,940,train,11295
914,plan_00914,941,train,2750
915,plan_00915,942,train,9626
916,plan_00916,943,train,2596
917,plan_00917,944,train,6204
918,plan_00918,945,train,1487
919,plan_00919,946,train,9120
920,plan_00920,947,train,2427
921,plan_00921,948,train,6441
922,plan_00922,949,test,815
923,plan_00923,950,train,12332
924,plan_00924,951,train,10981
925,plan_00925,952,train,8879
926,plan_00926,953,train,1574
927,plan_00927,954,train,13149
928,plan_00928,955,train,12916
929,plan_00929,956,train,6218
930,plan_00930,957,test,2443
931,plan_00931,958,train,4707
932,plan_00932,959,train,9440
933,plan_00933,960,train,9972
934,plan_00934,961,train,2620
935,plan_00935,962,train,7280
936,plan_00936,963,train,6687
937,plan_00937,964,train,9023
938,plan_00938,965,train,2625
